,NAME,TOTAL ROUNDS,TOTAL STROKES,TOTAL ADJUSTMENT,TOTAL DISTANCE,TOTAL DRIVES,FAIRWAYS HIT,POSSIBLE FAIRWAYS,GREENS HIT,# HOLES,RELATIVE/PAR,TOTAL SG:PUTTING,MEASURED ROUNDS_x,SG:OTT,SG:APR,SG:ARG,TOTAL SG:T,MEASURED ROUNDS_y,EVENTS,# OF WINS,# OF TOP-10S,POINTS BEHIND LEAD,RESET POINTS,1ST,2ND,3RD,YEAR
70,Scott Piercy,84,"5,951",.778,"44,680",150,701,"1,180","1,018","1,512",-0.26,-18.967,65,.608,.116,.002,12.175,65,24,0,3,"3,692",,,2,,2016
71,Brendan Steele,84,"5,955",- 3.178,"48,355",160,709,"1,176","1,039","1,512",-0.26,-19.769,69,.331,.238,-.188,17.624,69,25,0,2,"4,188",,,,1,2016
72,Sung Kang,87,"6,156",8.507,"50,873",174,720,"1,213","1,022","1,566",-0.27,13.606,73,-.009,-.121,-.053,.285,73,29,0,2,"4,510",,,,,2016
73,Martin Laird,78,"5,510",17.605,"46,569",156,601,"1,090",950,"1,404",-0.27,11.202,71,-.178,.313,.053,21.713,71,24,0,3,"4,378",,,1,,2016
74,David Hearn,95,"6,699",33.690,"51,186",182,875,"1,327","1,167","1,710",-0.26,17.563,82,-.303,.532,.081,43.070,82,29,0,2,"4,105",,,,,2016
75,David Toms,62,"4,399",- 4.950,"33,439",124,588,865,731,"1,116",-0.21,7.145,54,-.390,.360,.278,20.523,54,19,0,1,"4,734",,,1,,2016
76,Hudson Swafford,104,"7,335",36.020,"61,380",200,892,"1,452","1,288","1,872",-0.28,18.864,92,.497,.320,-.561,27.408,92,30,0,1,"4,208",,,,,2016
77,Aaron Baddeley,89,"6,277",32.063,"51,925",178,690,"1,245","1,011","1,602",-0.29,43.961,75,-.366,-.362,.402,19.250,75,28,1,5,"4,267",,1,,,2016
78,Jhonattan Vegas,89,"6,278",31.358,"54,238",178,709,"1,245","1,121","1,602",-0.27,7.209,77,.664,.179,-.110,50.794,77,26,1,5,"3,578",,1,,,2016
79,Jamie Lovemark,91,"6,434",17.557,"55,160",181,728,"1,270","1,070","1,638",-0.28,10.909,83,.609,-.459,.294,41.868,83,27,0,5,"3,957",,,1,,2016
80,Graeme McDowell,60,"4,272",- 18.042,"33,773",120,570,842,696,"1,080",-0.25,-8.967,45,-.129,.153,-.003,-8.028,45,21,1,5,"3,939",,1,,1,2016
81,Bryce Molder,78,"5,514",16.312,"43,709",156,681,"1,089",861,"1,404",-0.28,37.064,67,-.181,-.331,.498,36.178,67,26,0,5,"4,471",,,,,2016
82,Ben Crane,76,"5,377",12.007,"40,362",144,671,"1,062",870,"1,368",-0.26,15.160,66,-.063,.101,.173,13.346,66,27,0,1,"4,689",,,,,2016
